test vector,6_s-a-0,13_1_s-a-1,4_s-a-1,8_2_s-a-1,11_s-a-0,13_s-a-0,10_s-a-0,4_1_s-a-0,3_s-a-0,5_s-a-1,12_s-a-1,3_2_s-a-1,1_s-a-1,3_s-a-1,8_1_s-a-0,2_2_s-a-0,7_s-a-0,14_s-a-0,13_1_s-a-0,10_s-a-1,2_s-a-1,17_s-a-0,4_s-a-0,16_s-a-0,12_s-a-0,10_2_s-a-0,10_2_s-a-1,3_2_s-a-0,14_s-a-1,8_1_s-a-1,4_1_s-a-1,2_1_s-a-1,14_2_s-a-1,3_1_s-a-1,4_2_s-a-1,8_s-a-0,8_2_s-a-0,2_s-a-0,8_s-a-1,11_s-a-1,17_s-a-1,9_s-a-1,15_s-a-0,15_s-a-1,2_2_s-a-1,16_s-a-1,10_1_s-a-1,13_2_s-a-1,13_s-a-1,Essential / Not Essential
01110100,✓,✓,,✓,✓,,✓,✓,✓,✓,✓,,✓,,,✓,,,,,,,✓,,,✓,,✓,✓,✓,,,,,,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
01110101,✓,✓,,,✓,,✓,✓,✓,✓,✓,,✓,,✓,✓,,✓,,,,,✓,,,✓,,✓,,,,,,,,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
01110110,,✓,,✓,✓,,✓,✓,✓,✓,✓,,✓,,,✓,,,,,,,✓,,,✓,,✓,✓,✓,,,,,,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
01110111,,✓,,,✓,,✓,✓,✓,✓,✓,,✓,,✓,✓,,✓,,,,,✓,,,✓,,✓,,,,,,,,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
01111000,,✓,,✓,,,✓,✓,✓,,,,✓,,,✓,,,,,,,✓,,✓,✓,,✓,✓,✓,,,,,,,,✓,✓,✓,✓,✓,✓,,,✓,,,✓,Not Essential
01111001,,✓,,,,,✓,✓,✓,,,,✓,,✓,✓,,✓,,,,,✓,,✓,✓,,✓,,,,,,,,✓,✓,✓,,✓,✓,✓,,✓,,✓,,✓,✓,Not Essential
01111010,,✓,,✓,,,✓,✓,✓,,✓,,✓,,,✓,✓,✓,,,,,✓,✓,,✓,,✓,,✓,,,,,,,,✓,✓,✓,✓,✓,,✓,,,,✓,✓,Not Essential
01111011,,✓,,,,,✓,✓,✓,,✓,,✓,,✓,✓,✓,,,,,,✓,✓,,✓,,✓,✓,,,,,,,✓,✓,✓,,✓,✓,✓,✓,,,,,,✓,Not Essential
01111100,✓,✓,,✓,,,✓,✓,✓,,✓,,✓,,,✓,,✓,,,,,✓,✓,,✓,,✓,,✓,,,,,,,,✓,✓,✓,✓,✓,,✓,,,,✓,✓,Not Essential
01111101,✓,✓,,,,,✓,✓,✓,,✓,,✓,,✓,✓,,,,,,,✓,✓,,✓,,✓,✓,,,,,,,✓,✓,✓,,✓,✓,✓,✓,,,,,,✓,Not Essential
01111110,,✓,,✓,,,✓,✓,✓,,✓,,✓,,,✓,,✓,,,,,✓,✓,,✓,,✓,,✓,,,,,,,,✓,✓,✓,✓,✓,,✓,,,,✓,✓,Not Essential
01111111,,✓,,,,,✓,✓,✓,,✓,,✓,,✓,✓,,,,,,,✓,✓,,✓,,✓,✓,,,,,,,✓,✓,✓,,✓,✓,✓,✓,,,,,,✓,Not Essential
10000000,,✓,✓,✓,✓,,,,,,,✓,,✓,,,,,,✓,✓,,,,✓,,✓,,✓,✓,✓,,,,,,,,✓,,✓,,✓,,✓,✓,,,✓,Not Essential
10000001,,✓,✓,,✓,,,,,,,✓,,✓,✓,,,✓,,✓,✓,,,,✓,,✓,,,,✓,,,,,✓,✓,,,,✓,,,✓,✓,✓,,✓,✓,Not Essential
10000010,,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,✓,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
10000011,,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,✓,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
10000100,✓,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
10000101,✓,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
10000110,,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
10000111,,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
10001000,,✓,✓,✓,✓,,,,,,,✓,,✓,,,,,,✓,✓,,,,✓,,✓,,✓,✓,✓,,,,✓,,,,✓,,✓,,✓,,✓,✓,,,✓,Not Essential
10001001,,✓,✓,,✓,,,,,,,✓,,✓,✓,,,✓,,✓,✓,,,,✓,,✓,,,,✓,,,,✓,✓,✓,,,,✓,,,✓,✓,✓,,✓,✓,Not Essential
10001010,,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,✓,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,✓,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
10001011,,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,✓,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,✓,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
10001100,✓,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,✓,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
10001101,✓,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,✓,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
10001110,,✓,✓,✓,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,,✓,,,✓,,,✓,✓,,,,✓,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
10001111,,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,,,,✓,✓,,,✓,,,✓,,✓,,✓,,,,✓,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
10010000,,✓,,✓,✓,,✓,✓,,✓,,✓,,✓,,,,✓,,,✓,,✓,✓,✓,✓,,,,✓,,,,,,,,,✓,,✓,✓,,✓,✓,,,✓,✓,Not Essential
10010001,,✓,,,✓,,✓,✓,,✓,,✓,,✓,✓,,,,,,✓,,✓,✓,✓,✓,,,✓,,,,,,,✓,✓,,,,✓,✓,✓,,✓,,,,✓,Not Essential
10010010,,✓,,✓,✓,,✓,✓,,✓,✓,✓,,✓,,,✓,,,,✓,,✓,,,✓,,,✓,✓,,,,,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
10010011,,✓,,,✓,,✓,✓,,✓,✓,✓,,✓,✓,,✓,✓,,,✓,,✓,,,✓,,,,,,,,,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10010100,✓,✓,,✓,✓,,✓,✓,,✓,✓,✓,,✓,,,,,,,✓,,✓,,,✓,,,✓,✓,,,,,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
10010101,✓,✓,,,✓,,✓,✓,,✓,✓,✓,,✓,✓,,,✓,,,✓,,✓,,,✓,,,,,,,,,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10010110,,✓,,✓,✓,,✓,✓,,✓,✓,✓,,✓,,,,,,,✓,,✓,,,✓,,,✓,✓,,,,,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
10010111,,✓,,,✓,,✓,✓,,✓,✓,✓,,✓,✓,,,✓,,,✓,,✓,,,✓,,,,,,,,,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10011000,,✓,,✓,,,✓,✓,,,,✓,,✓,,,,,,,✓,,✓,,✓,✓,,,✓,✓,,,,,,,,,✓,✓,✓,✓,✓,,✓,✓,,,✓,Not Essential
10011001,,✓,,,,,✓,✓,,,,✓,,✓,✓,,,✓,,,✓,,✓,,✓,✓,,,,,,,,,,✓,✓,,,✓,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10011010,,✓,,✓,,,✓,✓,,,✓,✓,,✓,,,✓,✓,,,✓,,✓,✓,,✓,,,,✓,,,,,,,,,✓,✓,✓,✓,,✓,✓,,,✓,✓,Not Essential
10011011,,✓,,,,,✓,✓,,,✓,✓,,✓,✓,,✓,,,,✓,,✓,✓,,✓,,,✓,,,,,,,✓,✓,,,✓,✓,✓,✓,,✓,,,,✓,Not Essential
10011100,✓,✓,,✓,,,✓,✓,,,✓,✓,,✓,,,,✓,,,✓,,✓,✓,,✓,,,,✓,,,,,,,,,✓,✓,✓,✓,,✓,✓,,,✓,✓,Not Essential
10011101,✓,✓,,,,,✓,✓,,,✓,✓,,✓,✓,,,,,,✓,,✓,✓,,✓,,,✓,,,,,,,✓,✓,,,✓,✓,✓,✓,,✓,,,,✓,Not Essential
10011110,,✓,,✓,,,✓,✓,,,✓,✓,,✓,,,,✓,,,✓,,✓,✓,,✓,,,,✓,,,,,,,,,✓,✓,✓,✓,,✓,✓,,,✓,✓,Not Essential
10011111,,✓,,,,,✓,✓,,,✓,✓,,✓,✓,,,,,,✓,,✓,✓,,✓,,,✓,,,,,,,✓,✓,,,✓,✓,✓,✓,,✓,,,,✓,Not Essential
10100000,,✓,✓,✓,✓,,✓,,✓,,,,,,,,,✓,,,✓,,,✓,✓,✓,,✓,,✓,✓,✓,,,,,,,✓,,✓,✓,,✓,✓,,,✓,✓,Not Essential
10100001,,✓,✓,,✓,,✓,,✓,,,,,,✓,,,,,,✓,,,✓,✓,✓,,✓,✓,,✓,✓,,,,✓,✓,,,,✓,✓,✓,,✓,,,,✓,Not Essential
10100010,,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,✓,,,,✓,,,,,✓,,✓,✓,✓,✓,✓,,,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
10100011,,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,✓,✓,,,✓,,,,,✓,,✓,,,✓,✓,,,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10100100,✓,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,,,,,✓,,,,,✓,,✓,✓,✓,✓,✓,,,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
10100101,✓,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,,✓,,,✓,✓,,,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10100110,,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,,,,,✓,,,,,✓,,✓,✓,✓,✓,✓,,,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
10100111,,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,,✓,,,✓,✓,,,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10101000,,✓,✓,✓,✓,,✓,,✓,,,,,,,,,✓,,,✓,,,✓,✓,✓,,✓,,✓,✓,✓,,,✓,,,,✓,,✓,✓,,✓,✓,,,✓,✓,Not Essential
10101001,,✓,✓,,✓,,✓,,✓,,,,,,✓,,,,,,✓,,,✓,✓,✓,,✓,✓,,✓,✓,,,✓,✓,✓,,,,✓,✓,✓,,✓,,,,✓,Not Essential
10101010,,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,✓,,,,✓,,,,,✓,,✓,✓,✓,✓,✓,,,✓,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
10101011,,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,✓,✓,,,✓,,,,,✓,,✓,,,✓,✓,,,✓,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10101100,✓,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,,,,,✓,,,,,✓,,✓,✓,✓,✓,✓,,,✓,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
10101101,✓,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,,✓,,,✓,✓,,,✓,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10101110,,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,,,,,✓,,,,,✓,,✓,✓,✓,✓,✓,,,✓,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
10101111,,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,,✓,,,✓,✓,,,✓,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
10110000,,✓,,✓,✓,,,✓,✓,✓,,,,,,,,,,✓,✓,,✓,,✓,,✓,✓,✓,✓,,,,,,,,,✓,,✓,,✓,,✓,✓,,,✓,Not Essential
10110001,,✓,,,✓,,,✓,✓,✓,,,,,✓,,,✓,,✓,✓,,✓,,✓,,✓,✓,,,,,,,,✓,✓,,,,✓,,,✓,✓,✓,,✓,✓,Not Essential
10110010,,✓,,✓,✓,,,✓,✓,✓,✓,,,,,,✓,✓,,✓,✓,,✓,✓,,,✓,✓,,✓,,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
10110011,,✓,,,✓,,,✓,✓,✓,✓,,,,✓,,✓,,,✓,✓,,✓,✓,,,✓,✓,✓,,,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
10110100,✓,✓,,✓,✓,,,✓,✓,✓,✓,,,,,,,✓,,✓,✓,,✓,✓,,,✓,✓,,✓,,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
10110101,✓,✓,,,✓,,,✓,✓,✓,✓,,,,✓,,,,,✓,✓,,✓,✓,,,✓,✓,✓,,,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
10110110,,✓,,✓,✓,,,✓,✓,✓,✓,,,,,,,✓,,✓,✓,,✓,✓,,,✓,✓,,✓,,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
10110111,,✓,,,✓,,,✓,✓,✓,✓,,,,✓,,,,,✓,✓,,✓,✓,,,✓,✓,✓,,,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
10111000,,✓,,✓,,,,✓,✓,,,,,,,,,✓,,✓,✓,,✓,✓,✓,,✓,✓,,✓,,,,,,,,,✓,✓,✓,,,✓,✓,,,✓,✓,Not Essential
10111001,,✓,,,,,,✓,✓,,,,,,✓,,,,,✓,✓,,✓,✓,✓,,✓,✓,✓,,,,,,,✓,✓,,,✓,✓,,✓,,✓,,,,✓,Not Essential
10111010,,✓,,✓,,,,✓,✓,,✓,,,,,,✓,,,✓,✓,,✓,,,,✓,✓,✓,✓,,,,,,,,,✓,✓,✓,,✓,,✓,✓,,,✓,Not Essential
10111011,,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,✓,✓,,✓,,,,✓,✓,,,,,,,,✓,✓,,,✓,✓,,,✓,✓,✓,,✓,✓,Not Essential
10111100,✓,✓,,✓,,,,✓,✓,,✓,,,,,,,,,✓,✓,,✓,,,,✓,✓,✓,✓,,,,,,,,,✓,✓,✓,,✓,,✓,✓,,,✓,Not Essential
10111101,✓,✓,,,,,,✓,✓,,✓,,,,✓,,,✓,,✓,✓,,✓,,,,✓,✓,,,,,,,,✓,✓,,,✓,✓,,,✓,✓,✓,,✓,✓,Not Essential
10111110,,✓,,✓,,,,✓,✓,,✓,,,,,,,,,✓,✓,,✓,,,,✓,✓,✓,✓,,,,,,,,,✓,✓,✓,,✓,,✓,✓,,,✓,Not Essential
10111111,,✓,,,,,,✓,✓,,✓,,,,✓,,,✓,,✓,✓,,✓,,,,✓,✓,,,,,,,,✓,✓,,,✓,✓,,,✓,✓,✓,,✓,✓,Not Essential
11000000,,✓,✓,✓,✓,,✓,,,,,✓,,✓,,✓,,✓,,,,,,✓,✓,✓,,,,✓,✓,,,✓,,,,✓,✓,,✓,✓,,✓,,,,✓,✓,Not Essential
11000001,,✓,✓,,✓,,✓,,,,,✓,,✓,✓,✓,,,,,,,,✓,✓,✓,,,✓,,✓,,,✓,,✓,✓,✓,,,✓,✓,✓,,,,,,✓,Not Essential
11000010,,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,✓,,,,,,,,,✓,,,✓,✓,✓,,,✓,,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
11000011,,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,✓,✓,,,,,,,,✓,,,,,✓,,,✓,,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
11000100,✓,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,,,,,,,,,,✓,,,✓,✓,✓,,,✓,,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
11000101,✓,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,,✓,,,,,,,,✓,,,,,✓,,,✓,,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
11000110,,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,,,,,,,,,,✓,,,✓,✓,✓,,,✓,,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
11000111,,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,,✓,,,,,,,,✓,,,,,✓,,,✓,,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
11001000,,✓,✓,✓,✓,,✓,,,,,✓,,✓,,✓,,✓,,,,,,✓,✓,✓,,,,✓,✓,,,✓,✓,,,✓,✓,,✓,✓,,✓,,,,✓,✓,Not Essential
11001001,,✓,✓,,✓,,✓,,,,,✓,,✓,✓,✓,,,,,,,,✓,✓,✓,,,✓,,✓,,,✓,✓,✓,✓,✓,,,✓,✓,✓,,,,,,✓,Not Essential
11001010,,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,✓,,,,,,,,,✓,,,✓,✓,✓,,,✓,✓,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
11001011,,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,✓,✓,,,,,,,,✓,,,,,✓,,,✓,✓,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
11001100,✓,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,,,,,,,,,,✓,,,✓,✓,✓,,,✓,✓,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
11001101,✓,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,,✓,,,,,,,,✓,,,,,✓,,,✓,✓,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
11001110,,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,,,,,,,,,,✓,,,✓,✓,✓,,,✓,✓,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
11001111,,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,,✓,,,,,,,,✓,,,,,✓,,,✓,✓,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
11010000,,✓,,✓,✓,,,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,✓,,✓,,✓,✓,,,,,,,,✓,✓,,✓,,✓,,,✓,,,✓,Not Essential
11010001,,✓,,,✓,,,✓,,✓,,✓,,✓,✓,✓,,✓,,✓,,,✓,,✓,,✓,,,,,,,,,✓,✓,✓,,,✓,,,✓,,✓,,✓,✓,Not Essential
11010010,,✓,,✓,✓,,,✓,,✓,✓,✓,,✓,,✓,✓,✓,,✓,,,✓,✓,,,✓,,,✓,,,,,,,,✓,✓,,✓,,,✓,,,,✓,✓,Not Essential
11010011,,✓,,,✓,,,✓,,✓,✓,✓,,✓,✓,✓,✓,,,✓,,,✓,✓,,,✓,,✓,,,,,,,✓,✓,✓,,,✓,,✓,,,,,,✓,Not Essential
11010100,✓,✓,,✓,✓,,,✓,,✓,✓,✓,,✓,,✓,,✓,,✓,,,✓,✓,,,✓,,,✓,,,,,,,,✓,✓,,✓,,,✓,,,,✓,✓,Not Essential
11010101,✓,✓,,,✓,,,✓,,✓,✓,✓,,✓,✓,✓,,,,✓,,,✓,✓,,,✓,,✓,,,,,,,✓,✓,✓,,,✓,,✓,,,,,,✓,Not Essential
11010110,,✓,,✓,✓,,,✓,,✓,✓,✓,,✓,,✓,,✓,,✓,,,✓,✓,,,✓,,,✓,,,,,,,,✓,✓,,✓,,,✓,,,,✓,✓,Not Essential
11010111,,✓,,,✓,,,✓,,✓,✓,✓,,✓,✓,✓,,,,✓,,,✓,✓,,,✓,,✓,,,,,,,✓,✓,✓,,,✓,,✓,,,,,,✓,Not Essential
11011000,,✓,,✓,,,,✓,,,,✓,,✓,,✓,,✓,,✓,,,✓,✓,✓,,✓,,,✓,,,,,,,,✓,✓,✓,✓,,,✓,,,,✓,✓,Not Essential
11011001,,✓,,,,,,✓,,,,✓,,✓,✓,✓,,,,✓,,,✓,✓,✓,,✓,,✓,,,,,,,✓,✓,✓,,✓,✓,,✓,,,,,,✓,Not Essential
11011010,,✓,,✓,,,,✓,,,✓,✓,,✓,,✓,✓,,,✓,,,✓,,,,✓,,✓,✓,,,,,,,,✓,✓,✓,✓,,✓,,,✓,,,✓,Not Essential
11011011,,✓,,,,,,✓,,,✓,✓,,✓,✓,✓,✓,✓,,✓,,,✓,,,,✓,,,,,,,,,✓,✓,✓,,✓,✓,,,✓,,✓,,✓,✓,Not Essential
11011100,✓,✓,,✓,,,,✓,,,✓,✓,,✓,,✓,,,,✓,,,✓,,,,✓,,✓,✓,,,,,,,,✓,✓,✓,✓,,✓,,,✓,,,✓,Not Essential
11011101,✓,✓,,,,,,✓,,,✓,✓,,✓,✓,✓,,✓,,✓,,,✓,,,,✓,,,,,,,,,✓,✓,✓,,✓,✓,,,✓,,✓,,✓,✓,Not Essential
11011110,,✓,,✓,,,,✓,,,✓,✓,,✓,,✓,,,,✓,,,✓,,,,✓,,✓,✓,,,,,,,,✓,✓,✓,✓,,✓,,,✓,,,✓,Not Essential
11011111,,✓,,,,,,✓,,,✓,✓,,✓,✓,✓,,✓,,✓,,,✓,,,,✓,,,,,,,,,✓,✓,✓,,✓,✓,,,✓,,✓,,✓,✓,Not Essential
11100000,,✓,✓,✓,✓,,,,✓,,,,,,,✓,,,,✓,,,,,✓,,✓,✓,✓,✓,✓,,,,,,,✓,✓,,✓,,✓,,,✓,✓,,✓,Not Essential
11100001,,✓,✓,,✓,,,,✓,,,,,,✓,✓,,✓,,✓,,,,,✓,,✓,✓,,,✓,,,,,✓,✓,✓,,,✓,,,✓,,✓,✓,✓,✓,Not Essential
11100010,,✓,✓,✓,✓,,,,✓,,✓,,,,,✓,✓,✓,,✓,,,,✓,,,✓,✓,,✓,✓,,,,,,,✓,✓,,✓,,,✓,,,✓,✓,✓,Not Essential
11100011,,✓,✓,,✓,,,,✓,,✓,,,,✓,✓,✓,,,✓,,,,✓,,,✓,✓,✓,,✓,,,,,✓,✓,✓,,,✓,,✓,,,,✓,,✓,Not Essential
11100100,✓,✓,✓,✓,✓,,,,✓,,✓,,,,,✓,,✓,,✓,,,,✓,,,✓,✓,,✓,✓,,,,,,,✓,✓,,✓,,,✓,,,✓,✓,✓,Not Essential
11100101,✓,✓,✓,,✓,,,,✓,,✓,,,,✓,✓,,,,✓,,,,✓,,,✓,✓,✓,,✓,,,,,✓,✓,✓,,,✓,,✓,,,,✓,,✓,Not Essential
11100110,,✓,✓,✓,✓,,,,✓,,✓,,,,,✓,,✓,,✓,,,,✓,,,✓,✓,,✓,✓,,,,,,,✓,✓,,✓,,,✓,,,✓,✓,✓,Not Essential
11100111,,✓,✓,,✓,,,,✓,,✓,,,,✓,✓,,,,✓,,,,✓,,,✓,✓,✓,,✓,,,,,✓,✓,✓,,,✓,,✓,,,,✓,,✓,Not Essential
11101000,,✓,✓,✓,✓,,,,✓,,,,,,,✓,,,,✓,,,,,✓,,✓,✓,✓,✓,✓,,,,✓,,,✓,✓,,✓,,✓,,,✓,✓,,✓,Not Essential
11101001,,✓,✓,,✓,,,,✓,,,,,,✓,✓,,✓,,✓,,,,,✓,,✓,✓,,,✓,,,,✓,✓,✓,✓,,,✓,,,✓,,✓,✓,✓,✓,Not Essential
11101010,,✓,✓,✓,✓,,,,✓,,✓,,,,,✓,✓,✓,,✓,,,,✓,,,✓,✓,,✓,✓,,,,✓,,,✓,✓,,✓,,,✓,,,✓,✓,✓,Not Essential
11101011,,✓,✓,,✓,,,,✓,,✓,,,,✓,✓,✓,,,✓,,,,✓,,,✓,✓,✓,,✓,,,,✓,✓,✓,✓,,,✓,,✓,,,,✓,,✓,Not Essential
11101100,✓,✓,✓,✓,✓,,,,✓,,✓,,,,,✓,,✓,,✓,,,,✓,,,✓,✓,,✓,✓,,,,✓,,,✓,✓,,✓,,,✓,,,✓,✓,✓,Not Essential
11101101,✓,✓,✓,,✓,,,,✓,,✓,,,,✓,✓,,,,✓,,,,✓,,,✓,✓,✓,,✓,,,,✓,✓,✓,✓,,,✓,,✓,,,,✓,,✓,Not Essential
11101110,,✓,✓,✓,✓,,,,✓,,✓,,,,,✓,,✓,,✓,,,,✓,,,✓,✓,,✓,✓,,,,✓,,,✓,✓,,✓,,,✓,,,✓,✓,✓,Not Essential
11101111,,✓,✓,,✓,,,,✓,,✓,,,,✓,✓,,,,✓,,,,✓,,,✓,✓,✓,,✓,,,,✓,✓,✓,✓,,,✓,,✓,,,,✓,,✓,Not Essential
11110000,,,,✓,✓,✓,✓,✓,✓,✓,,,,,,✓,,✓,✓,,,✓,✓,,✓,✓,,✓,,✓,,,,,,,,✓,✓,,,,,✓,,✓,,,,Not Essential
11110001,,,,,✓,✓,✓,✓,✓,✓,,,,,✓,✓,,,✓,,,,✓,,✓,✓,,✓,✓,,,,✓,,,✓,✓,✓,,,✓,,✓,,,✓,,,,Not Essential
11110010,,,,✓,✓,✓,✓,✓,✓,✓,✓,,,,,✓,✓,,✓,,,,✓,✓,,✓,,✓,✓,✓,,,✓,,,,,✓,✓,,✓,,✓,,,,,,,Not Essential
11110011,,,,,✓,✓,✓,✓,✓,✓,✓,,,,✓,✓,✓,✓,✓,,,✓,✓,✓,,✓,,✓,,,,,,,,✓,✓,✓,,,,,,✓,,,,,,Not Essential
11110100,✓,,,✓,✓,✓,✓,✓,✓,✓,✓,,,,,✓,,,✓,,,,✓,✓,,✓,,✓,✓,✓,,,✓,,,,,✓,✓,,✓,,✓,,,,,,,Not Essential
11110101,✓,,,,✓,✓,✓,✓,✓,✓,✓,,,,✓,✓,,✓,✓,,,✓,✓,✓,,✓,,✓,,,,,,,,✓,✓,✓,,,,,,✓,,,,,,Not Essential
11110110,,,,✓,✓,✓,✓,✓,✓,✓,✓,,,,,✓,,,✓,,,,✓,✓,,✓,,✓,✓,✓,,,✓,,,,,✓,✓,,✓,,✓,,,,,,,Not Essential
11110111,,,,,✓,✓,✓,✓,✓,✓,✓,,,,✓,✓,,✓,✓,,,✓,✓,✓,,✓,,✓,,,,,,,,✓,✓,✓,,,,,,✓,,,,,,Not Essential
11111000,,,,✓,,✓,✓,✓,✓,,,,,,,✓,,,✓,,,,✓,✓,✓,✓,,✓,✓,✓,,,✓,,,,,✓,✓,✓,✓,,✓,,,,,,,Not Essential
