test vector,6_s-a-0,13_1_s-a-1,4_s-a-1,8_2_s-a-1,11_s-a-0,13_s-a-0,10_s-a-0,4_1_s-a-0,3_s-a-0,5_s-a-1,12_s-a-1,3_2_s-a-1,1_s-a-1,3_s-a-1,8_1_s-a-0,2_2_s-a-0,7_s-a-0,14_s-a-0,13_1_s-a-0,10_s-a-1,2_s-a-1,17_s-a-0,4_s-a-0,16_s-a-0,12_s-a-0,10_2_s-a-0,10_2_s-a-1,3_2_s-a-0,14_s-a-1,8_1_s-a-1,4_1_s-a-1,2_1_s-a-1,14_2_s-a-1,3_1_s-a-1,4_2_s-a-1,8_s-a-0,8_2_s-a-0,2_s-a-0,8_s-a-1,11_s-a-1,17_s-a-1,9_s-a-1,15_s-a-0,15_s-a-1,2_2_s-a-1,16_s-a-1,10_1_s-a-1,13_2_s-a-1,13_s-a-1,Essential / Not Essential
00100101,✓,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,,✓,,,✓,,,,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
00100110,,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,,,,,✓,,,,,✓,,✓,✓,✓,✓,,,,,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
00100111,,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,,✓,,,✓,,,,,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
00101000,,✓,✓,✓,✓,,✓,,✓,,,,,,,,,✓,,,✓,,,✓,✓,✓,,✓,,✓,✓,,,,✓,,,,✓,,✓,✓,,✓,✓,,,✓,✓,Not Essential
00101001,,✓,✓,,✓,,✓,,✓,,,,,,✓,,,,,,✓,,,✓,✓,✓,,✓,✓,,✓,,,,✓,✓,✓,,,,✓,✓,✓,,✓,,,,✓,Not Essential
00101010,,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,✓,,,,✓,,,,,✓,,✓,✓,✓,✓,,,,✓,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
00101011,,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,✓,✓,,,✓,,,,,✓,,✓,,,✓,,,,✓,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
00101100,✓,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,,,,,✓,,,,,✓,,✓,✓,✓,✓,,,,✓,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
00101101,✓,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,,✓,,,✓,,,,✓,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
00101110,,✓,✓,✓,✓,,✓,,✓,,✓,,,,,,,,,,✓,,,,,✓,,✓,✓,✓,✓,,,,✓,,,,✓,,✓,✓,✓,,✓,✓,,,✓,Not Essential
00101111,,✓,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,,✓,,,,,✓,,✓,,,✓,,,,✓,✓,✓,,,,✓,✓,,✓,✓,✓,,✓,✓,Not Essential
00110000,,✓,,✓,✓,,,✓,✓,✓,,,,,,,,,,✓,✓,,✓,,✓,,✓,✓,✓,✓,,,,,,,,,✓,,✓,,✓,,✓,✓,,,✓,Not Essential
00110001,,✓,,,✓,,,✓,✓,✓,,,,,✓,,,✓,,✓,✓,,✓,,✓,,✓,✓,,,,,,,,✓,✓,,,,✓,,,✓,✓,✓,,✓,✓,Not Essential
00110010,,✓,,✓,✓,,,✓,✓,✓,✓,,,,,,✓,✓,,✓,✓,,✓,✓,,,✓,✓,,✓,,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
00110011,,✓,,,✓,,,✓,✓,✓,✓,,,,✓,,✓,,,✓,✓,,✓,✓,,,✓,✓,✓,,,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
00110100,✓,✓,,✓,✓,,,✓,✓,✓,✓,,,,,,,✓,,✓,✓,,✓,✓,,,✓,✓,,✓,,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
00110101,✓,✓,,,✓,,,✓,✓,✓,✓,,,,✓,,,,,✓,✓,,✓,✓,,,✓,✓,✓,,,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
00110110,,✓,,✓,✓,,,✓,✓,✓,✓,,,,,,,✓,,✓,✓,,✓,✓,,,✓,✓,,✓,,,,,,,,,✓,,✓,,,✓,✓,,,✓,✓,Not Essential
00110111,,✓,,,✓,,,✓,✓,✓,✓,,,,✓,,,,,✓,✓,,✓,✓,,,✓,✓,✓,,,,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,Not Essential
00111000,,✓,,✓,,,,✓,✓,,,,,,,,,✓,,✓,✓,,✓,✓,✓,,✓,✓,,✓,,,,,,,,,✓,✓,✓,,,✓,✓,,,✓,✓,Not Essential
00111001,,✓,,,,,,✓,✓,,,,,,✓,,,,,✓,✓,,✓,✓,✓,,✓,✓,✓,,,,,,,✓,✓,,,✓,✓,,✓,,✓,,,,✓,Not Essential
00111010,,✓,,✓,,,,✓,✓,,✓,,,,,,✓,,,✓,✓,,✓,,,,✓,✓,✓,✓,,,,,,,,,✓,✓,✓,,✓,,✓,✓,,,✓,Not Essential
00111011,,✓,,,,,,✓,✓,,✓,,,,✓,,✓,✓,,✓,✓,,✓,,,,✓,✓,,,,,,,,✓,✓,,,✓,✓,,,✓,✓,✓,,✓,✓,Not Essential
00111100,✓,✓,,✓,,,,✓,✓,,✓,,,,,,,,,✓,✓,,✓,,,,✓,✓,✓,✓,,,,,,,,,✓,✓,✓,,✓,,✓,✓,,,✓,Not Essential
00111101,✓,✓,,,,,,✓,✓,,✓,,,,✓,,,✓,,✓,✓,,✓,,,,✓,✓,,,,,,,,✓,✓,,,✓,✓,,,✓,✓,✓,,✓,✓,Not Essential
00111110,,✓,,✓,,,,✓,✓,,✓,,,,,,,,,✓,✓,,✓,,,,✓,✓,✓,✓,,,,,,,,,✓,✓,✓,,✓,,✓,✓,,,✓,Not Essential
00111111,,✓,,,,,,✓,✓,,✓,,,,✓,,,✓,,✓,✓,,✓,,,,✓,✓,,,,,,,,✓,✓,,,✓,✓,,,✓,✓,✓,,✓,✓,Not Essential
